,date,price_change
0,2022-01-03,
1,2022-01-04,-0.000629621957060511
2,2022-01-05,-0.019392757790687165
3,2022-01-06,-0.0009637690162076495
4,2022-01-07,-0.004050216740091761
5,2022-01-10,-0.0014410312534549607
6,2022-01-11,0.009159984668711818
7,2022-01-12,0.002817754443029452
8,2022-01-13,-0.0142436152864307
9,2022-01-14,0.0008199802697488323
10,2022-01-18,-0.018387945694007368
11,2022-01-19,-0.009689541868338813
12,2022-01-20,-0.01103737849414832
13,2022-01-21,-0.018914821867908604
14,2022-01-24,0.002771738943381896
15,2022-01-25,-0.012171906253646725
16,2022-01-26,-0.0014966358477518371
17,2022-01-27,-0.00538408875771057
18,2022-01-28,0.024347646888076113
19,2022-01-31,0.018885951732779516
20,2022-02-01,0.00686300355780145
21,2022-02-02,0.00942251544733641
22,2022-02-03,-0.024391082077444004
23,2022-02-04,0.0051569298644233985
24,2022-02-07,-0.0037017126347429485
25,2022-02-08,0.008401207191663262
26,2022-02-09,0.014517207887505545
27,2022-02-10,-0.01811572566845976
28,2022-02-11,-0.01896945434456343
29,2022-02-14,-0.0038405967262932217
30,2022-02-15,0.01576672117072042
31,2022-02-16,0.0008812077558950637
32,2022-02-17,-0.021173138152195015
33,2022-02-18,-0.0071661613961429005
34,2022-02-22,-0.010142945264832837
35,2022-02-23,-0.018412122845487655
36,2022-02-24,0.014956856067329216
37,2022-02-25,0.022372677655603468
38,2022-02-28,-0.002442603440647617
39,2022-03-01,-0.015473503680411893
40,2022-03-02,0.018642691757321028
41,2022-03-03,-0.005254666430088317
42,2022-03-04,-0.007934042550334475
43,2022-03-07,-0.029518158313449172
44,2022-03-08,-0.00723375351819977
45,2022-03-09,0.02569824789143582
46,2022-03-10,-0.004291813651667864
47,2022-03-11,-0.012961545123475138
48,2022-03-14,-0.007421002465963666
49,2022-03-15,0.021408574170870942
50,2022-03-16,0.02238376135718223
51,2022-03-17,0.01234781757145198
52,2022-03-18,0.011662294827948783
53,2022-03-21,-0.00043466036210393355
54,2022-03-22,0.0113041136006502
55,2022-03-23,-0.012272698789159042
56,2022-03-24,0.01434391292056647
57,2022-03-25,0.005066170567449069
58,2022-03-28,0.007144955276586762
59,2022-03-29,0.012256547427530462
60,2022-03-30,-0.0062937001746978805
61,2022-03-31,-0.015652540713177343
62,2022-04-01,0.0034102225843584133
63,2022-04-04,0.008090938687879357
64,2022-04-05,-0.012551720801807331
65,2022-04-06,-0.009716916613271898
66,2022-04-07,0.004253385628492534
67,2022-04-08,-0.002651026482054286
68,2022-04-11,-0.01687729010355421
69,2022-04-12,-0.003417447717741773
70,2022-04-13,0.011174577597236057
71,2022-04-14,-0.01214413784439794
72,2022-04-18,-0.0002048682840329885
73,2022-04-19,0.016057604355527166
74,2022-04-20,-0.0006184750715809706
75,2022-04-21,-0.014752948498371943
76,2022-04-22,-0.027740054250753654
77,2022-04-25,0.005697936985382235
78,2022-04-26,-0.028146308431003852
79,2022-04-27,0.0020980468517017847
80,2022-04-28,0.02474690007293945
81,2022-04-29,-0.036284507106413955
82,2022-05-02,0.005675242812353654
83,2022-05-03,0.004837126381486367
84,2022-05-04,0.02986242108440229
85,2022-05-05,-0.035649708609806985
86,2022-05-06,-0.0056742248424840325
87,2022-05-09,-0.03203710063235676
88,2022-05-10,0.0024578974498534745
89,2022-05-11,-0.01646320750393837
90,2022-05-12,-0.0012959645058717717
91,2022-05-13,0.02386969542307149
92,2022-05-16,-0.003946400929555671
93,2022-05-17,0.020169632234863677
94,2022-05-18,-0.04039526078745259
95,2022-05-19,-0.005833781800992588
96,2022-05-20,0.00014614176965843662
97,2022-05-23,0.018555039930923556
98,2022-05-24,-0.008120797617175213
99,2022-05-25,0.009450764734207695
100,2022-05-26,0.019883256167224195
101,2022-05-27,0.02474226295510973
102,2022-05-31,-0.006274368617659065
103,2022-06-01,-0.007482768681131846
104,2022-06-02,0.018431018038486124
105,2022-06-03,-0.016347313992415624
106,2022-06-06,0.003137400778913113
107,2022-06-07,0.009523393173235029
108,2022-06-08,-0.010793945785935621
109,2022-06-09,-0.02379869397635359
110,2022-06-10,-0.029110303335524668
111,2022-06-13,-0.038768430665237275
112,2022-06-14,-0.0037736797459957394
113,2022-06-15,0.014592504858983224
114,2022-06-16,-0.03251195148816344
115,2022-06-17,0.002200865698254617
116,2022-06-21,0.024477242280086964
117,2022-06-22,-0.0013015723144006452
118,2022-06-23,0.009532217409177868
119,2022-06-24,0.03056329358583576
120,2022-06-27,-0.0029730715337762392
121,2022-06-28,-0.020143036075892073
122,2022-06-29,-0.0007117454091590814
123,2022-06-30,-0.008759278267998716
124,2022-07-01,0.010553814029047315
125,2022-07-05,0.0015841285142366157
126,2022-07-06,0.0035731642904301975
127,2022-07-07,0.014964587965241805
128,2022-07-08,-0.000830271529819071
129,2022-07-11,-0.011527461422777274
130,2022-07-12,-0.009243878717321574
131,2022-07-13,-0.0044569025122100925
132,2022-07-14,-0.00299863390215227
133,2022-07-15,0.01920124935943668
134,2022-07-18,-0.008363571580831342
135,2022-07-19,0.02762829164595959
136,2022-07-20,0.005895806193263242
137,2022-07-21,0.00986137270919718
138,2022-07-22,-0.00933246697634671
139,2022-07-25,0.0013151670479691902
140,2022-07-26,-0.01154320266205866
141,2022-07-27,0.026156273782937722
142,2022-07-28,0.012133338697180918
143,2022-07-29,0.014207760082581844
144,2022-08-01,-0.0028230841271976725
145,2022-08-02,-0.006662395550704803
146,2022-08-03,0.015638477163140152
147,2022-08-04,-0.0007773401640558397
148,2022-08-05,-0.0016257460597355333
